Date,Portfolio_CumReturn,SP500_CumReturn,NASDAQ_CumReturn,Vol_Daily,Vol_Weekly,Vol_Monthly,Drawdown_Current,Drawdown_Max,Return_Port_Daily,Return_Port_Weekly,Return_Port_Monthly,Return_SP_Weekly,Return_SP_Monthly,Return_NASDAQ_Weekly,Return_NASDAQ_Monthly,Sharpe_Monthly_Rolling
2024-01-03,97.87,,,,,,0.0,0.0,-2.13,,,,,,,
2024-01-04,98.68,99.66,99.44,,,,0.0,0.0,0.83,,,,,,,
2024-01-05,98.46,99.84,99.53,,,,-0.22,-0.22,-0.22,,,,,,,
2024-01-08,95.96,101.25,101.72,,,,-2.76,-2.76,-2.54,,,,,,,
2024-01-09,97.5,101.1,101.82,,28.74,,-1.19,-2.76,1.61,-2.5,,,,,,
2024-01-10,93.97,101.67,102.59,,35.28,,-4.77,-4.77,-3.62,-3.98,,1.67,,2.59,,
2024-01-11,90.81,101.6,102.59,,35.73,,-7.97,-7.97,-3.36,-7.97,,1.95,,3.17,,
2024-01-12,93.31,101.68,102.61,,47.43,,-5.44,-7.97,2.75,-5.23,,1.84,,3.09,,
2024-01-15,91.25,101.68,102.61,,46.82,,-7.53,-7.97,-2.21,-4.9,,0.43,,0.87,,
2024-01-16,93.68,101.3,102.41,,50.88,,-5.07,-7.97,2.66,-3.92,,0.2,,0.58,,
2024-01-17,87.35,100.73,101.81,,64.9,,-11.48,-11.48,-6.75,-7.04,,-0.92,,-0.76,,
2024-01-18,88.24,101.62,103.18,,63.9,,-10.58,-11.48,1.01,-2.83,,0.01,,0.57,,
2024-01-19,89.85,102.87,104.93,,61.23,,-8.94,-11.48,1.83,-3.7,,1.17,,2.26,,
2024-01-22,91.32,103.1,105.26,,61.31,,-7.45,-11.48,1.64,0.08,,1.39,,2.59,,
2024-01-23,94.85,103.4,105.71,,65.0,,-3.87,-11.48,3.86,1.26,,2.07,,3.22,,
2024-01-24,95.59,103.48,106.1,,19.38,,-3.13,-11.48,0.78,9.43,,2.73,,4.22,,
2024-01-25,92.28,104.02,106.29,,42.92,,-6.48,-11.48,-3.46,4.58,,2.37,,3.02,,
2024-01-26,97.43,103.96,105.92,,54.54,,-1.27,-11.48,5.58,8.43,,1.06,,0.94,,
2024-01-29,98.6,104.74,107.1,,54.65,,-0.07,-11.48,1.21,7.97,,1.6,,1.74,,
2024-01-30,97.43,104.68,106.29,,53.18,,-1.27,-11.48,-1.19,2.71,,1.24,,0.54,,
2024-01-31,99.34,102.99,103.92,,54.11,47.12,0.0,-11.48,1.96,3.92,-0.66,-0.47,,-2.05,,0.057
2024-02-01,98.75,104.28,105.27,,42.37,46.54,-0.59,-11.48,-0.59,7.01,0.9,0.25,4.28,-0.96,5.27,0.455
2024-02-02,96.69,105.39,107.1,,26.72,47.05,-2.66,-11.48,-2.08,-0.75,-2.01,1.38,5.76,1.12,7.71,-0.293
2024-02-05,97.13,105.06,106.89,,24.79,47.07,-2.22,-11.48,0.46,-1.49,-1.34,0.3,5.23,-0.19,7.39,-0.119
