Date,Portfolio_CumReturn,SP500_CumReturn,NASDAQ_CumReturn,Vol_Daily,Vol_Weekly,Vol_Monthly,Drawdown_Current,Drawdown_Max,Return_Port_Daily,Return_Port_Weekly,Return_Port_Monthly,Return_SP_Weekly,Return_SP_Monthly,Return_NASDAQ_Weekly,Return_NASDAQ_Monthly,Sharpe_Monthly_Rolling
2022-01-04,97.15,,,,,,0.0,0.0,-2.85,,,,,,,
2022-01-05,94.74,98.06,96.66,,,,-2.47,-2.47,-2.47,,,,,,,
2022-01-06,93.62,97.97,96.53,,,,-3.63,-3.63,-1.18,,,,,,,
2022-01-07,91.65,97.57,95.6,,,,-5.66,-5.66,-2.11,,,,,,,
2022-01-10,93.01,97.43,95.65,,27.7,,-4.26,-5.66,1.49,-6.99,,,,,,
2022-01-11,93.16,98.32,97.0,,26.14,,-4.1,-5.66,0.16,-4.1,,-1.68,,-3.0,,
2022-01-12,90.43,98.6,97.22,,28.11,,-6.92,-6.92,-2.94,-4.56,,0.55,,0.58,,
2022-01-13,90.75,97.19,94.78,,29.28,,-6.59,-6.92,0.35,-3.07,,-0.79,,-1.82,,
2022-01-14,90.87,97.27,95.33,,26.19,,-6.47,-6.92,0.13,-0.85,,-0.3,,-0.28,,
2022-01-17,90.87,97.27,95.33,,22.08,,-6.47,-6.92,0.0,-2.31,,-0.16,,-0.33,,
2022-01-18,85.99,95.48,92.86,,39.92,,-11.48,-11.48,-5.36,-7.69,,-2.88,,-4.27,,
2022-01-19,84.66,94.56,91.79,,38.09,,-12.86,-12.86,-1.55,-6.38,,-4.1,,-5.58,,
2022-01-20,84.57,93.52,90.6,,36.98,,-12.94,-12.94,-0.1,-6.8,,-3.78,,-4.41,,
2022-01-21,82.52,91.75,88.13,,34.8,,-15.06,-15.06,-2.43,-9.18,,-5.68,,-7.55,,
2022-01-24,85.5,92.0,88.69,,52.23,,-11.99,-15.06,3.61,-5.9,,-5.42,,-6.97,,
2022-01-25,83.09,90.88,86.66,,41.37,,-14.47,-15.06,-2.82,-3.38,,-4.82,,-6.67,,
2022-01-26,80.98,90.75,86.68,,43.24,,-16.64,-16.64,-2.53,-4.34,,-4.03,,-5.57,,
2022-01-27,78.53,90.26,85.47,,45.0,,-19.17,-19.17,-3.03,-7.15,,-3.48,,-5.66,,
2022-01-28,81.4,92.45,88.14,,56.01,,-16.21,-19.17,3.66,-1.36,,0.77,,0.01,,
2022-01-31,85.29,94.2,91.15,,61.39,,-12.21,-19.17,4.78,-0.25,,2.39,,2.78,,
2022-02-01,85.49,94.85,91.83,,56.11,40.54,-12.0,-19.17,0.24,2.89,-14.51,4.36,,5.96,,-4.43
2022-02-02,83.11,95.74,92.29,,57.03,40.5,-14.45,-19.17,-2.79,2.63,-14.45,5.5,-4.26,6.46,-7.71,-4.415
2022-02-03,81.01,93.41,88.84,,55.06,40.52,-16.61,-19.17,-2.52,3.17,-14.49,3.49,-4.75,3.94,-8.09,-4.426
2022-02-04,81.52,93.89,90.24,,48.51,40.74,-16.09,-19.17,0.62,0.14,-12.93,1.55,-4.16,2.38,-6.52,-3.871
2022-02-07,79.72,93.54,89.71,,25.79,40.78,-17.94,-19.17,-2.2,-6.53,-13.01,-0.7,-4.13,-1.57,-6.16,-3.894
2022-02-08,81.72,94.33,90.86,,37.05,41.59,-15.88,-19.17,2.51,-4.41,-12.14,-0.55,-3.19,-1.06,-5.01,-3.525
2022-02-09,82.34,95.7,92.75,,33.95,41.78,-15.24,-19.17,0.76,-0.93,-11.62,-0.05,-2.67,0.51,-4.38,-3.338
2022-02-10,81.63,93.96,90.8,,28.27,40.89,-15.97,-19.17,-0.86,0.76,-9.72,0.59,-4.7,2.21,-6.6,-2.8
2022-02-11,80.96,92.18,88.28,,28.66,40.8,-16.66,-19.17,-0.82,-0.68,-10.78,-1.82,-5.16,-2.18,-6.86,-3.153
2022-02-14,80.29,91.83,88.27,,23.61,40.75,-17.35,-19.17,-0.83,0.71,-11.64,-1.83,-5.6,-1.6,-7.4,-3.44
2022-02-15,82.16,93.27,90.51,,22.5,41.93,-15.43,-19.17,2.33,0.54,-9.58,-1.12,-4.11,-0.39,-5.06,-2.677
2022-02-16,81.75,93.36,90.41,,22.0,37.94,-15.85,-19.17,-0.49,-0.71,-4.93,-2.45,-2.23,-2.53,-2.64,-1.419
2022-02-17,78.61,91.38,87.8,,34.7,39.74,-19.08,-19.17,-3.84,-3.7,-7.14,-2.75,-3.36,-3.31,-4.35,-2.045
2022-02-18,76.75,90.72,86.72,,36.63,40.35,-20.99,-20.99,-2.36,-5.2,-9.25,-1.58,-2.99,-1.76,-4.28,-2.688
2022-02-21,76.75,90.72,86.72,,37.4,39.71,-20.99,-20.99,0.0,-4.4,-6.99,-1.2,-1.12,-1.76,-1.6,-1.998
