Date,Portfolio_CumReturn,SP500_CumReturn,NASDAQ_CumReturn,Vol_Daily,Vol_Weekly,Vol_Monthly,Drawdown_Current,Drawdown_Max,Return_Port_Daily,Return_Port_Weekly,Return_Port_Monthly,Return_SP_Weekly,Return_SP_Monthly,Return_NASDAQ_Weekly,Return_NASDAQ_Monthly,Sharpe_Monthly_Rolling
2022-01-04,98.89,,,,,,0.0,0.0,-1.11,,,,,,,
2022-01-05,99.94,98.06,96.66,,,,0.0,0.0,1.06,,,,,,,
2022-01-06,99.79,97.97,96.53,,,,-0.15,-0.15,-0.15,,,,,,,
2022-01-07,98.92,97.57,95.6,,,,-1.02,-1.02,-0.87,,,,,,,
2022-01-10,98.21,97.43,95.65,,13.76,,-1.73,-1.73,-0.73,-1.79,,,,,,
2022-01-11,99.85,98.32,97.0,,17.8,,-0.09,-1.73,1.67,0.97,,-1.68,,-3.0,,
2022-01-12,100.93,98.6,97.22,,17.86,,0.0,-1.73,1.08,0.99,,0.55,,0.58,,
2022-01-13,101.49,97.19,94.78,,17.7,,0.0,-1.73,0.56,1.71,,-0.79,,-1.82,,
2022-01-14,99.52,97.27,95.33,,23.15,,-1.94,-1.94,-1.94,0.6,,-0.3,,-0.28,,
2022-01-17,100.21,97.27,95.33,,22.01,,-1.27,-1.94,0.69,2.04,,-0.16,,-0.33,,
2022-01-18,97.43,95.48,92.86,,27.83,,-4.01,-4.01,-2.77,-2.43,,-2.88,,-4.27,,
2022-01-19,95.22,94.56,91.79,,26.14,,-6.19,-6.19,-2.27,-5.66,,-4.1,,-5.58,,
2022-01-20,96.17,93.52,90.6,,28.08,,-5.24,-6.19,1.0,-5.24,,-3.78,,-4.41,,
2022-01-21,92.53,91.75,88.13,,34.16,,-8.84,-8.84,-3.79,-7.03,,-5.68,,-7.55,,
2022-01-24,88.25,92.0,88.69,,34.21,,-13.05,-13.05,-4.62,-11.93,,-5.42,,-6.97,,
2022-01-25,86.25,90.88,86.66,,34.13,,-15.02,-15.02,-2.27,-11.48,,-4.82,,-6.67,,
2022-01-26,89.57,90.75,86.68,,56.07,,-11.75,-15.02,3.85,-5.93,,-4.03,,-5.57,,
2022-01-27,87.47,90.26,85.47,,52.84,,-13.81,-15.02,-2.34,-9.05,,-3.48,,-5.66,,
2022-01-28,85.71,92.45,88.14,,50.13,,-15.55,-15.55,-2.02,-7.37,,0.77,,0.01,,
2022-01-31,88.88,94.2,91.15,,52.04,,-12.43,-15.55,3.7,0.71,,2.39,,2.78,,
2022-02-01,90.07,94.85,91.83,,47.42,35.86,-11.25,-15.55,1.35,4.44,-9.93,4.36,,5.96,,-3.318
