Date,Portfolio_CumReturn,SP500_CumReturn,NASDAQ_CumReturn,Vol_Daily,Vol_Weekly,Vol_Monthly,Drawdown_Current,Drawdown_Max,Return_Port_Daily,Return_Port_Weekly,Return_Port_Monthly,Return_SP_Weekly,Return_SP_Monthly,Return_NASDAQ_Weekly,Return_NASDAQ_Monthly,Sharpe_Monthly_Rolling
2022-01-04,100.22,,,,,,0.0,0.0,0.22,,,,,,,
2022-01-05,97.51,98.06,96.66,,,,-2.7,-2.7,-2.7,,,,,,,
2022-01-06,97.29,97.97,96.53,,,,-2.92,-2.92,-0.22,,,,,,,
2022-01-07,96.32,97.57,95.6,,,,-3.89,-3.89,-1.0,,,,,,,
2022-01-08,96.32,97.57,95.6,,18.87,,-3.89,-3.89,0.0,-3.68,,,,,,
2022-01-09,96.32,97.57,95.6,,18.23,,-3.89,-3.89,0.0,-3.89,,-2.43,,-4.4,,
2022-01-10,94.34,97.43,95.65,,14.05,,-5.87,-5.87,-2.06,-3.25,,-0.64,,-1.04,,
2022-01-11,94.55,98.32,97.0,,15.24,,-5.65,-5.87,0.23,-2.82,,0.36,,0.48,,
2022-01-12,94.26,98.6,97.22,,14.78,,-5.95,-5.95,-0.31,-2.14,,1.05,,1.69,,
2022-01-13,93.95,97.19,94.78,,14.36,,-6.25,-6.25,-0.33,-2.46,,-0.38,,-0.86,,
2022-01-14,93.51,97.27,95.33,,13.72,,-6.69,-6.69,-0.46,-2.91,,-0.3,,-0.28,,
2022-01-15,93.51,97.27,95.33,,4.48,,-6.69,-6.69,0.0,-0.87,,-0.16,,-0.33,,
2022-01-16,93.51,97.27,95.33,,3.32,,-6.69,-6.69,0.0,-1.1,,-1.07,,-1.71,,
2022-01-17,94.37,97.27,95.33,,8.5,,-5.84,-6.69,0.91,0.11,,-1.34,,-1.94,,
2022-01-18,94.71,95.48,92.86,,8.1,,-5.5,-6.69,0.36,0.81,,-1.76,,-2.03,,
2022-01-19,92.99,94.56,91.79,,16.25,,-7.21,-7.21,-1.81,-0.56,,-2.79,,-3.72,,
2022-01-20,93.79,93.52,90.6,,17.71,,-6.41,-7.21,0.87,0.3,,-3.86,,-4.97,,
2022-01-21,93.67,91.75,88.13,,17.76,,-6.53,-7.21,-0.13,0.17,,-5.68,,-7.55,,
2022-01-22,93.67,91.75,88.13,,16.04,,-6.53,-7.21,0.0,-0.74,,-5.68,,-7.55,,
2022-01-23,93.67,91.75,88.13,,15.52,,-6.53,-7.21,0.0,-1.09,,-3.91,,-5.09,,
2022-01-24,91.32,92.0,88.69,,20.15,16.11,-8.88,-8.88,-2.51,-1.8,-8.68,-2.71,,-3.38,,-6.672
2022-01-25,91.1,90.88,86.66,,17.25,15.96,-9.1,-9.1,-0.24,-2.87,-9.1,-2.82,-9.12,-4.34,-13.34,-7.077
2022-01-26,91.29,90.75,86.68,,17.94,13.82,-8.91,-9.1,0.2,-2.54,-6.38,-1.09,-7.46,-1.65,-10.32,-5.649
2022-01-27,91.55,90.26,85.47,,18.56,13.97,-8.65,-9.1,0.29,-2.26,-5.9,-1.62,-7.87,-3.02,-11.46,-5.149
2022-01-28,91.36,92.45,88.14,,18.31,13.73,-8.83,-9.1,-0.2,-2.46,-5.14,0.77,-5.24,0.01,-7.8,-4.542
2022-01-29,91.36,92.45,88.14,,3.74,13.73,-8.83,-9.1,0.0,0.05,-5.14,0.49,-5.24,-0.61,-7.8,-4.542
2022-01-30,91.36,92.45,88.14,,3.06,13.73,-8.83,-9.1,0.0,0.29,-5.14,1.73,-5.24,1.71,-7.8,-4.542
2022-01-31,92.15,94.2,91.15,,6.6,12.56,-8.05,-9.1,0.86,0.95,-2.31,3.81,-3.31,5.15,-4.7,-2.175
2022-02-01,92.09,94.85,91.83,,6.74,12.5,-8.11,-9.1,-0.07,0.59,-2.6,5.09,-3.53,7.44,-5.33,-2.47
2022-02-02,93.25,95.74,92.29,,9.7,13.36,-6.95,-9.1,1.26,2.07,-1.07,3.55,-2.9,4.7,-5.08,-0.9
2022-02-03,92.4,93.41,88.84,,13.54,13.66,-7.8,-9.1,-0.91,1.14,-1.65,1.03,-3.9,0.79,-6.27,-1.393
2022-02-04,92.17,93.89,90.24,,13.92,13.61,-8.03,-9.1,-0.25,0.88,-1.44,1.55,-3.48,2.38,-5.34,-1.213
2022-02-05,92.17,93.89,90.24,,12.52,13.61,-8.03,-9.1,0.0,0.02,-1.44,-0.33,-3.48,-1.0,-5.34,-1.213
2022-02-06,92.17,93.89,90.24,,12.51,13.61,-8.03,-9.1,0.0,0.08,-1.44,-1.01,-3.48,-1.73,-5.34,-1.213
2022-02-07,92.12,93.54,89.71,,6.17,13.14,-8.08,-9.1,-0.05,-1.21,-2.38,-2.3,-3.84,-2.79,-5.9,-2.134
