Date,Portfolio_CumReturn,SP500_CumReturn,NASDAQ_CumReturn,Vol_Daily,Vol_Weekly,Vol_Monthly,Drawdown_Current,Drawdown_Max,Return_Port_Daily,Return_Port_Weekly,Return_Port_Monthly,Return_SP_Weekly,Return_SP_Monthly,Return_NASDAQ_Weekly,Return_NASDAQ_Monthly,Sharpe_Monthly_Rolling
2022-01-02,99.28,,,,,,0.0,0.0,-0.72,,,,,,,
2022-01-03,97.42,,,,,,-1.87,-1.87,-1.87,,,,,,,
2022-01-04,96.25,99.94,98.67,,,,-3.06,-3.06,-1.21,,,,,,,
2022-01-05,91.36,98.0,95.37,,,,-7.98,-7.98,-5.07,,,,,,,
2022-01-06,90.51,97.9,95.25,,28.47,,-8.84,-8.84,-0.94,-9.49,,,,,,
2022-01-07,87.15,97.51,94.34,,28.16,,-12.22,-12.22,-3.71,-12.22,,,,,,
2022-01-08,87.52,97.51,94.34,,35.47,,-11.85,-12.22,0.42,-10.17,,-2.49,,-5.66,,
2022-01-09,87.89,97.51,94.34,,39.7,,-11.48,-12.22,0.43,-8.68,,-2.43,,-4.4,,
2022-01-10,87.7,97.37,94.38,,27.32,,-11.67,-12.22,-0.22,-4.01,,-0.64,,-1.04,,
2022-01-11,89.62,98.26,95.71,,34.44,,-9.74,-12.22,2.19,-0.98,,0.36,,0.48,,
2022-01-12,92.16,98.54,95.93,,20.76,,-7.17,-12.22,2.84,5.75,,1.05,,1.69,,
2022-01-13,89.32,97.13,93.52,,36.96,,-10.04,-12.22,-3.09,2.05,,-0.38,,-0.86,,
2022-01-14,90.38,97.21,94.07,,37.36,,-8.97,-12.22,1.19,2.83,,-0.3,,-0.28,,
2022-01-15,90.54,97.21,94.07,,36.93,,-8.8,-12.22,0.18,3.24,,-0.16,,-0.33,,
2022-01-16,90.41,97.21,94.07,,34.5,,-8.94,-12.22,-0.15,0.88,,-1.07,,-1.71,,
2022-01-17,88.6,97.21,94.07,,27.54,,-10.76,-12.22,-2.0,-3.86,,-1.34,,-1.94,,
2022-01-18,88.86,95.42,91.63,,18.66,,-10.5,-12.22,0.3,-0.51,,-1.76,,-2.03,,
2022-01-19,87.54,94.5,90.57,,16.59,,-11.83,-12.22,-1.49,-3.14,,-2.79,,-3.72,,
2022-01-20,85.31,93.46,89.4,,19.26,,-14.08,-14.08,-2.55,-5.78,,-3.86,,-4.97,,
2022-01-21,76.45,91.69,86.96,,65.73,,-23.0,-23.0,-10.38,-15.44,,-5.68,,-7.55,,
2022-01-22,73.46,91.69,86.96,,64.88,45.44,-26.01,-26.01,-3.91,-17.09,-26.54,-5.68,,-7.55,,-7.86
2022-01-23,76.07,91.69,86.96,,79.69,48.58,-23.38,-26.01,3.56,-14.39,-23.38,-3.91,,-5.09,,-6.297
2022-01-24,76.86,91.94,87.51,,84.5,49.12,-22.58,-26.01,1.04,-12.19,-21.1,-2.71,-8.06,-3.38,-12.49,-5.515
2022-01-25,77.49,90.82,85.51,,87.58,49.55,-21.95,-26.01,0.82,-9.16,-19.49,-2.82,-9.12,-4.34,-13.34,-4.977
2022-01-26,77.28,90.69,85.53,,43.12,47.29,-22.16,-26.01,-0.28,1.08,-15.42,-1.09,-7.46,-1.65,-10.32,-3.997
2022-01-27,77.88,90.2,84.34,,22.58,47.58,-21.56,-26.01,0.78,6.02,-13.95,-1.62,-7.87,-3.02,-11.46,-3.541
2022-01-28,79.23,92.4,86.97,,11.49,46.93,-20.19,-26.01,1.74,4.16,-9.08,0.77,-5.24,0.01,-7.8,-2.196
2022-01-29,79.98,92.4,86.97,,11.39,47.08,-19.45,-26.01,0.94,4.05,-8.62,0.49,-5.24,-0.61,-7.8,-2.058
2022-01-30,79.51,92.4,86.97,,14.99,46.99,-19.91,-26.01,-0.58,2.61,-9.53,1.73,-5.24,1.71,-7.8,-2.318
2022-01-31,80.7,94.14,89.94,,14.32,47.46,-18.72,-26.01,1.49,4.43,-7.98,3.81,-3.31,5.15,-4.7,-1.864
2022-02-01,81.25,94.79,90.61,,14.38,46.72,-18.17,-26.01,0.68,4.32,-9.34,5.09,-3.53,7.44,-5.33,-2.281
2022-02-02,77.49,95.68,91.06,,39.18,47.3,-21.95,-26.01,-4.62,-2.2,-15.92,3.55,-2.9,4.7,-5.08,-4.146
2022-02-03,77.91,93.35,87.66,,38.42,46.74,-21.52,-26.01,0.55,-2.58,-12.77,1.03,-3.9,0.79,-6.27,-3.263
2022-02-04,87.03,93.83,89.04,,94.58,63.12,-12.34,-26.01,11.7,9.45,-3.71,1.55,-3.48,2.38,-5.34,-0.419
2022-02-05,86.9,93.83,89.04,,95.8,63.11,-12.47,-26.01,-0.14,7.69,-4.02,-0.33,-3.48,-1.0,-5.34,-0.48
2022-02-06,88.94,93.83,89.04,,95.48,63.69,-10.42,-26.01,2.34,9.47,-1.63,-1.01,-3.48,-1.73,-5.34,-0.007
