Date,Portfolio_CumReturn,SP500_CumReturn,NASDAQ_CumReturn,Vol_Daily,Vol_Weekly,Vol_Monthly,Drawdown_Current,Drawdown_Max,Return_Port_Daily,Return_Port_Weekly,Return_Port_Monthly,Return_SP_Weekly,Return_SP_Monthly,Return_NASDAQ_Weekly,Return_NASDAQ_Monthly,Sharpe_Monthly_Rolling
2022-01-04,100.81,,,,,,0.0,0.0,0.81,,,,,,,
2022-01-05,101.4,98.06,96.66,,,,0.0,0.0,0.58,,,,,,,
2022-01-06,99.41,97.97,96.53,,,,-1.97,-1.97,-1.97,,,,,,,
2022-01-07,99.87,97.57,95.6,,,,-1.51,-1.97,0.46,,,,,,,
2022-01-08,99.87,97.57,95.6,,17.9,,-1.51,-1.97,0.0,-0.13,,,,,,
2022-01-09,99.87,97.57,95.6,,16.38,,-1.51,-1.97,0.0,-0.94,,-2.43,,-4.4,,
2022-01-10,99.94,97.43,95.65,,15.24,,-1.44,-1.97,0.08,-1.44,,-0.64,,-1.04,,
2022-01-11,101.07,98.32,97.0,,7.65,,-0.33,-1.97,1.12,1.67,,0.36,,0.48,,
2022-01-12,101.54,98.6,97.22,,7.66,,0.0,-1.97,0.47,1.68,,1.05,,1.69,,
2022-01-13,101.21,97.19,94.78,,8.83,,-0.33,-1.97,-0.33,1.35,,-0.38,,-0.86,,
2022-01-14,100.95,97.27,95.33,,9.49,,-0.59,-1.97,-0.26,1.09,,-0.3,,-0.28,,
2022-01-15,100.95,97.27,95.33,,9.58,,-0.59,-1.97,0.0,1.01,,-0.16,,-0.33,,
2022-01-16,100.95,97.27,95.33,,4.99,,-0.59,-1.97,0.0,-0.12,,-1.07,,-1.71,,
2022-01-17,100.95,97.27,95.33,,2.58,,-0.59,-1.97,0.0,-0.59,,-1.34,,-1.94,,
2022-01-18,100.72,95.48,92.86,,2.13,,-0.82,-1.97,-0.23,-0.49,,-1.76,,-2.03,,
2022-01-19,102.43,94.56,91.79,,12.58,,0.0,-1.97,1.7,1.46,,-2.79,,-3.72,,
2022-01-20,102.4,93.52,90.6,,12.63,,-0.03,-1.97,-0.03,1.43,,-3.86,,-4.97,,
2022-01-21,101.8,91.75,88.13,,14.05,,-0.61,-1.97,-0.58,0.84,,-5.68,,-7.55,,
2022-01-22,101.8,91.75,88.13,,14.05,,-0.61,-1.97,0.0,0.84,,-5.68,,-7.55,,
2022-01-23,101.8,91.75,88.13,,13.73,,-0.61,-1.97,0.0,1.08,,-3.91,,-5.09,,
2022-01-24,102.35,92.0,88.69,,6.3,11.26,-0.08,-1.97,0.54,-0.08,2.35,-2.71,,-3.38,,2.532
2022-01-25,102.96,90.88,86.66,,7.63,11.11,0.0,-1.97,0.6,0.55,2.13,-2.82,-9.12,-4.34,-13.34,2.334
2022-01-26,101.7,90.75,86.68,,11.67,11.87,-1.23,-1.97,-1.23,-0.1,0.29,-1.09,-7.46,-1.65,-10.32,0.35
2022-01-27,99.66,90.26,85.47,,18.25,11.94,-3.21,-3.21,-2.0,-2.1,0.26,-1.62,-7.87,-3.02,-11.46,0.315
2022-01-28,99.19,92.45,88.14,,17.87,11.94,-3.66,-3.66,-0.47,-2.56,-0.67,0.77,-5.24,0.01,-7.8,-0.622
2022-01-29,99.19,92.45,88.14,,16.2,11.94,-3.66,-3.66,0.0,-3.08,-0.67,0.49,-5.24,-0.61,-7.8,-0.622
2022-01-30,99.19,92.45,88.14,,13.74,11.94,-3.66,-3.66,0.0,-3.66,-0.67,1.73,-5.24,1.71,-7.8,-0.622
2022-01-31,99.76,94.2,91.15,,15.51,12.11,-3.11,-3.66,0.57,-1.91,-0.19,3.81,-3.31,5.15,-4.7,-0.13
2022-02-01,100.05,94.85,91.83,,6.13,11.46,-2.83,-3.66,0.3,0.39,-1.01,5.09,-3.53,7.44,-5.33,-1.004
2022-02-02,100.54,95.74,92.29,,4.23,11.47,-2.35,-3.66,0.49,1.36,-0.99,3.55,-2.9,4.7,-5.08,-0.98
2022-02-03,100.2,93.41,88.84,,5.96,11.48,-2.68,-3.66,-0.34,1.01,-1.0,1.03,-3.9,0.79,-6.27,-0.995
