Date,Portfolio_CumReturn,SP500_CumReturn,NASDAQ_CumReturn,Vol_Daily,Vol_Weekly,Vol_Monthly,Drawdown_Current,Drawdown_Max,Return_Port_Daily,Return_Port_Weekly,Return_Port_Monthly,Return_SP_Daily,Return_SP_Weekly,Return_SP_Monthly,Return_NASDAQ_Daily,Return_NASDAQ_Weekly,Return_NASDAQ_Monthly
2021-01-04,15.259424,13.59178,39.663267,6.146928,8.260499,17.938551,-0.597094,-18.636572,-0.597094,0.293512,1.491063,-1.475483,-0.047929,0.896938,-1.472889,-0.818848,2.8437
2021-01-05,15.509263,14.396304,40.988688,6.116518,8.20695,17.938517,-0.381626,-18.636572,0.216762,0.287847,1.411998,0.70826,-0.211922,1.667614,0.949012,-0.609324,3.567521
2021-01-06,15.470405,15.049489,40.12894,6.117945,8.122446,17.936983,-0.415138,-18.636572,-0.033641,0.37468,1.226545,0.570984,0.5818,1.35497,-0.609799,-0.837709,2.254405
2021-01-07,15.775756,16.757675,43.722028,6.122124,8.072889,17.937948,-0.151795,-18.636572,0.264441,0.326482,1.236655,1.48474,1.932386,3.033275,2.56413,1.572491,4.371498
2021-01-08,15.471907,17.398892,45.201319,6.187189,7.99882,17.940181,-0.413842,-18.636572,-0.262445,-0.411977,0.747153,0.549186,1.837688,3.303746,1.029273,2.459726,4.899017
2021-01-11,15.011711,16.629372,43.380517,5.801844,7.989188,17.945399,-0.810728,-18.636572,-0.398536,-0.213419,1.055064,-0.655475,2.657695,3.443191,-1.253984,2.678631,5.582756
2021-01-12,15.145516,16.677865,43.776462,5.805777,7.914326,17.945149,-0.695331,-18.636572,0.11634,-0.313841,1.095314,0.041579,1.991015,3.613281,0.276149,2.005768,5.317049
2021-01-13,15.600357,16.943382,44.3981,5.924983,7.862525,17.948288,-0.303064,-18.636572,0.395015,0.114815,1.456791,0.227564,1.647595,3.967345,0.432364,3.047932,5.974626
2021-01-14,15.418769,16.504441,44.218709,5.822188,7.85003,17.944637,-0.45967,-18.636572,-0.157083,-0.306709,1.612391,-0.375345,-0.212491,4.027926,-0.124233,0.359568,5.348126
2021-01-15,15.174373,15.666771,42.96335,4.941171,7.86773,17.9447,-0.670444,-18.636572,-0.211748,-0.256011,0.445776,-0.719003,-1.48068,2.016798,-0.870455,-1.54016,3.231537
2021-01-19,15.699543,16.607879,45.148518,5.162286,7.904686,17.949164,-0.217523,-18.636572,0.455978,0.598503,0.915281,0.813638,-0.011567,2.653156,1.528482,1.242306,4.258784
2021-01-20,16.684614,18.232883,48.008889,5.619559,7.891087,17.965559,0.0,-18.636572,0.851405,1.333567,1.216177,1.393563,1.340417,3.470953,1.970651,2.936808,5.387611
2021-01-21,16.405678,18.27033,48.819036,5.515358,7.916043,17.968036,-0.239052,-18.636572,-0.239052,0.699501,1.342897,0.031672,1.144525,3.853737,0.547364,3.051808,6.006347
2021-01-22,16.278119,17.914264,48.952661,5.418582,7.915017,17.967353,-0.348371,-18.636572,-0.109581,0.747003,1.505279,-0.301061,1.218809,3.943304,0.08979,3.265831,6.198994
2021-01-25,16.867485,18.340623,49.974754,5.616231,7.961682,17.971529,0.0,-18.636572,0.506859,1.465609,2.006274,0.361584,2.299396,4.512197,0.686187,4.822473,6.371935
2021-01-26,16.634335,18.164434,49.865532,5.699248,7.973053,17.971459,-0.1995,-18.636572,-0.1995,0.810131,1.814917,-0.148883,1.336874,4.288733,-0.072827,3.221165,6.586505
2021-01-27,15.150793,15.130221,45.956024,7.312608,8.312473,18.020581,-1.468922,-18.636572,-1.271959,-1.313233,0.216768,-2.567788,-2.624477,1.367286,-2.608678,-1.358164,3.714576
