Date,Portfolio_CumReturn,SP500_CumReturn,NASDAQ_CumReturn,Vol_Daily,Vol_Weekly,Vol_Monthly,Drawdown_Current,Drawdown_Max,Return_Port_Daily,Return_Port_Weekly,Return_Port_Monthly,Return_SP_Weekly,Return_SP_Monthly,Return_NASDAQ_Weekly,Return_NASDAQ_Monthly,Sharpe_Monthly_Rolling
2024-01-03,98.76,,,,,,0.0,0.0,-1.24,,,,,,,
2024-01-04,99.65,99.66,99.44,,,,0.0,0.0,0.9,,,,,,,
2024-01-05,101.93,99.84,99.53,,,,0.0,0.0,2.29,,,,,,,
2024-01-08,108.48,101.25,101.72,,,,0.0,0.0,6.43,,,,,,,
2024-01-09,110.32,101.1,101.82,,44.55,,0.0,0.0,1.7,10.32,,,,,,
2024-01-10,112.83,101.67,102.59,,34.12,,0.0,0.0,2.28,14.26,,1.67,,2.59,,
2024-01-11,113.81,101.6,102.59,,34.24,,0.0,0.0,0.87,14.22,,1.95,,3.17,,
2024-01-12,113.58,101.68,102.61,,40.23,,-0.2,-0.2,-0.2,11.43,,1.84,,3.09,,
2024-01-15,113.58,101.68,102.61,,16.95,,-0.2,-0.2,0.0,4.7,,0.43,,0.87,,
2024-01-16,117.05,101.3,102.41,,22.63,,0.0,-0.2,3.06,6.1,,0.2,,0.58,,
2024-01-17,116.37,100.73,101.81,,23.15,,-0.58,-0.58,-0.58,3.13,,-0.92,,-0.76,,
2024-01-18,118.56,101.62,103.18,,24.87,,0.0,-0.58,1.88,4.17,,0.01,,0.57,,
2024-01-19,123.51,102.87,104.93,,31.85,,0.0,-0.58,4.17,8.74,,1.17,,2.26,,
2024-01-22,123.85,103.1,105.26,,30.97,,0.0,-0.58,0.27,9.04,,1.39,,2.59,,
2024-01-23,124.3,103.4,105.71,,29.74,,0.0,-0.58,0.37,6.19,,2.07,,3.22,,
2024-01-24,127.39,103.48,106.1,,25.71,,0.0,-0.58,2.49,9.47,,2.73,,4.22,,
2024-01-25,127.92,104.02,106.29,,27.59,,0.0,-0.58,0.42,7.9,,2.37,,3.02,,
2024-01-26,126.7,103.96,105.92,,19.65,,-0.95,-0.95,-0.95,2.59,,1.06,,0.94,,
2024-01-29,129.68,104.74,107.1,,23.22,,0.0,-0.95,2.35,4.71,,1.6,,1.74,,
2024-01-30,130.32,104.68,106.29,,23.04,,0.0,-0.95,0.49,4.85,,1.24,,0.54,,
2024-01-31,127.73,102.99,103.92,,26.05,30.92,-1.99,-1.99,-1.99,0.27,27.73,-0.47,,-2.05,,9.7
2024-02-01,130.85,104.28,105.27,,31.21,29.88,0.0,-1.99,2.44,2.29,32.5,0.25,4.28,-0.96,5.27,11.516
2024-02-02,137.35,105.39,107.1,,41.01,32.31,0.0,-1.99,4.97,8.4,37.84,1.38,5.76,1.12,7.71,12.161
2024-02-05,143.94,105.06,106.89,,46.88,34.14,0.0,-1.99,4.79,10.99,41.21,0.3,5.23,-0.19,7.39,12.391
2024-02-06,141.64,105.3,106.97,,53.42,31.27,-1.6,-1.99,-1.6,8.68,30.56,0.59,4.0,0.64,5.16,10.446
2024-02-07,145.53,106.17,107.98,,42.07,31.65,0.0,-1.99,2.75,13.93,31.91,3.08,5.02,3.91,6.05,10.719
2024-02-08,144.58,106.23,108.23,,48.4,32.19,-0.65,-1.99,-0.65,10.49,28.13,1.87,4.48,2.81,5.5,9.448
2024-02-09,149.75,106.84,109.58,,43.91,33.18,0.0,-1.99,3.58,9.03,31.58,1.37,5.15,2.31,6.82,10.145
2024-02-12,149.99,106.74,109.25,,35.31,32.99,0.0,-1.99,0.16,4.21,32.06,1.6,4.98,2.21,6.48,10.335
2024-02-13,149.74,105.28,107.29,,30.14,33.08,-0.17,-1.99,-0.17,5.72,31.84,-0.02,3.54,0.3,4.56,10.247
2024-02-14,153.42,106.29,108.68,,29.21,32.76,0.0,-1.99,2.46,5.42,31.07,0.11,4.92,0.65,6.12,10.129
2024-02-15,150.84,106.91,109.0,,33.62,33.76,-1.68,-1.99,-1.68,4.33,29.62,0.64,6.13,0.71,7.07,9.437
2024-02-16,150.75,106.39,108.11,,23.57,33.99,-1.74,-1.99,-0.06,0.67,27.15,-0.42,4.7,-1.34,4.78,8.69
2024-02-19,150.75,106.39,108.11,,23.59,32.38,-1.74,-1.99,0.0,0.51,22.06,-0.32,3.42,-1.05,3.03,7.574
2024-02-20,144.19,105.75,107.12,,39.82,37.24,-6.02,-6.02,-4.35,-3.71,16.42,0.45,2.58,-0.16,1.76,5.094
2024-02-21,140.08,105.89,106.78,,29.59,39.27,-8.7,-8.7,-2.85,-8.7,12.69,-0.38,2.41,-1.75,1.0,3.847
2024-02-22,163.05,108.12,109.93,,132.67,67.29,0.0,-8.7,16.4,8.09,27.99,1.14,4.49,0.85,3.62,4.727
2024-02-23,163.63,108.16,109.63,,132.33,67.3,0.0,-8.7,0.36,8.54,27.91,1.66,3.98,1.4,3.14,4.716
2024-02-26,164.2,107.75,109.48,,132.03,66.91,0.0,-8.7,0.35,8.92,29.59,1.28,3.65,1.27,3.37,4.976
