date,portfolio_return,sp500_return,nasdaq_return,volatility,drawdown_max,sharpe,portfolio_name
2022-11-15,0.011169,0.008713,0.014486,0.2152,-0.2644,1.36,Croissance Tech
2022-11-16,-0.00177,-0.008252,-0.015385,0.2152,-0.2644,1.36,Croissance Tech
2022-11-17,0.004114,-0.003089,-0.00346,0.2152,-0.2644,1.36,Croissance Tech
2022-11-18,-0.00114,0.004759,9.9e-05,0.2152,-0.2644,1.36,Croissance Tech
2022-11-21,-0.011052,-0.003884,-0.010905,0.2152,-0.2644,1.36,Croissance Tech
2022-11-22,0.013823,0.01358,0.013597,0.2152,-0.2644,1.36,Croissance Tech
2022-11-23,0.009439,0.005915,0.009925,0.2152,-0.2644,1.36,Croissance Tech
2022-11-25,-0.010014,-0.000283,-0.005224,0.2152,-0.2644,1.36,Croissance Tech
2022-11-28,-0.02266,-0.015444,-0.015754,0.2152,-0.2644,1.36,Croissance Tech
2022-11-29,-0.012616,-0.001592,-0.005948,0.2152,-0.2644,1.36,Croissance Tech
2022-11-30,0.056273,0.030948,0.044085,0.2152,-0.2644,1.36,Croissance Tech
2022-12-01,5.1e-05,-0.000868,0.00126,0.2152,-0.2644,1.36,Croissance Tech
2022-12-02,-0.001919,-0.001195,-0.001825,0.2152,-0.2644,1.36,Croissance Tech
2022-12-05,-0.012665,-0.017894,-0.019331,0.2152,-0.2644,1.36,Croissance Tech
2022-12-06,-0.023296,-0.014399,-0.020022,0.2152,-0.2644,1.36,Croissance Tech
2022-12-07,-0.010945,-0.001862,-0.005115,0.2152,-0.2644,1.36,Croissance Tech
2022-12-08,0.007222,0.007522,0.011265,0.2152,-0.2644,1.36,Croissance Tech
2022-12-09,-0.006453,-0.00735,-0.006982,0.2152,-0.2644,1.36,Croissance Tech
2022-12-12,0.019146,0.014279,0.012642,0.2152,-0.2644,1.36,Croissance Tech
2022-12-13,0.014672,0.00729,0.010146,0.2152,-0.2644,1.36,Croissance Tech
2022-12-14,-0.006918,-0.006053,-0.007633,0.2152,-0.2644,1.36,Croissance Tech
2022-12-15,-0.040366,-0.024922,-0.032259,0.2152,-0.2644,1.36,Croissance Tech
2022-12-16,-0.014092,-0.011138,-0.009724,0.2152,-0.2644,1.36,Croissance Tech
2022-12-19,-0.017328,-0.009008,-0.014888,0.2152,-0.2644,1.36,Croissance Tech
2022-12-20,0.003346,0.001037,0.000102,0.2152,-0.2644,1.36,Croissance Tech
2022-12-21,0.015133,0.014868,0.015384,0.2152,-0.2644,1.36,Croissance Tech
2022-12-22,-0.023784,-0.014452,-0.02178,0.2152,-0.2644,1.36,Croissance Tech
2022-12-23,0.003138,0.005868,0.002075,0.2152,-0.2644,1.36,Croissance Tech
2022-12-27,-0.012641,-0.00405,-0.013777,0.2152,-0.2644,1.36,Croissance Tech
2022-12-28,-0.019512,-0.012021,-0.013517,0.2152,-0.2644,1.36,Croissance Tech
2022-12-29,0.028031,0.017461,0.025927,0.2152,-0.2644,1.36,Croissance Tech
2022-12-30,-0.001485,-0.002541,-0.001108,0.2152,-0.2644,1.36,Croissance Tech
2023-01-03,-0.013345,-0.004001,-0.007596,0.2152,-0.2644,1.36,Croissance Tech
2023-01-04,-0.015705,0.007539,0.006911,0.2152,-0.2644,1.36,Croissance Tech
2023-01-05,-0.020366,-0.011646,-0.014679,0.2152,-0.2644,1.36,Croissance Tech
2023-01-06,0.022077,0.022841,0.025623,0.2152,-0.2644,1.36,Croissance Tech
2023-01-09,0.007087,-0.000768,0.006279,0.2152,-0.2644,1.36,Croissance Tech
2023-01-10,0.005738,0.006978,0.010059,0.2152,-0.2644,1.36,Croissance Tech
